Mother_job,Father_job,Avg,Rank,mJob,mValue,fJob,fValue
At home,Teacher,6,Fail,Teacher,0.14,Teacher,0.05
At home,Other,5,Fail,Civil services,0.23,Civil services,0.28
At home,Other,8,Fail,Health care,0.05,Health care,0.04
Other,Other,9,Fail,At home,0.18,At home,0.05
Other,Teacher,6,Fail,Other,0.40,Other,0.59
Teacher,Health care,9,Fail,,,,
Other,Other,9,Fail,,,,
Civil services,Civil services,5,Fail,,,,
Health care,Other,9,Fail,,,,
Civil services,Health care,9,Fail,,,,
Civil services,Civil services,8,Fail,,,,
Other,Other,7,Fail,,,,
Other,Other,9,Fail,,,,
Civil services,Civil services,9,Fail,,,,
Other,Other,7,Fail,,,,
Civil services,Teacher,7,Fail,,,,
Other,Other,9,Fail,,,,
Other,At home,9,Fail,,,,
Other,Civil services,9,Fail,,,,
Teacher,Health care,9,Fail,,,,
Civil services,Other,7,Fail,,,,
Health care,Civil services,8,Fail,,,,
Other,Other,6,Fail,,,,
Teacher,Other,9,Fail,,,,
Other,Other,9,Fail,,,,
At home,Other,5,Fail,,,,
Civil services,Other,6,Fail,,,,
Civil services,Civil services,8,Fail,,,,
At home,Other,7,Fail,,,,
Teacher,Health care,7,Fail,,,,
Other,Other,7,Fail,,,,
Other,Other,6,Fail,,,,
At home,Other,9,Fail,,,,
Other,Other,9,Fail,,,,
Other,At home,8,Fail,,,,
Civil services,Civil services,6,Fail,,,,
Civil services,Other,6,Fail,,,,
Other,Other,8,Fail,,,,
Civil services,Other,9,Fail,,,,
Health care,Civil services,9,Fail,,,,
Other,Other,8,Fail,,,,
Other,Other,8,Fail,,,,
Other,Other,9,Fail,,,,
At home,Other,8,Fail,,,,
Civil services,Other,4,Fail,,,,
Civil services,Teacher,4,Fail,,,,
At home,Other,3,Fail,,,,
At home,Teacher,3,Fail,,,,
Civil services,At home,4,Fail,,,,
At home,Other,3,Fail,,,,
Other,Other,1,Fail,,,,
Teacher,Civil services,5,Fail,,,,
Civil services,Civil services,9,Fail,,,,
Other,Other,2,Fail,,,,
Health care,Civil services,4,Fail,,,,
Teacher,Teacher,4,Fail,,,,
Civil services,Other,9,Fail,,,,
Other,Other,4,Fail,,,,
Civil services,At home,2,Fail,,,,
At home,Civil services,9,Fail,,,,
At home,Other,9,Fail,,,,
At home,Other,4,Fail,,,,
Other,Other,7,Fail,,,,
Other,Other,2,Fail,,,,
Other,Civil services,7,Fail,,,,
Other,Other,4,Fail,,,,
Other,Other,4,Fail,,,,
At home,Civil services,5,Fail,,,,
Teacher,Other,9,Fail,,,,
Other,Other,6,Fail,,,,
Teacher,Civil services,9,Fail,,,,
Teacher,Other,8,Fail,,,,
Other,Other,9,Fail,,,,
Health care,Other,8,Fail,,,,
At home,Other,9,Fail,,,,
At home,Civil services,8,Fail,,,,
At home,Civil services,8,Fail,,,,
Civil services,Civil services,9,Fail,,,,
Teacher,Other,9,Fail,,,,
Teacher,Teacher,9,Fail,,,,
Other,Other,9,Fail,,,,
Other,Other,9,Fail,,,,
Other,Other,6,Fail,,,,
At home,Civil services,9,Fail,,,,
Civil services,Other,7,Fail,,,,
At home,Other,9,Fail,,,,
Teacher,Other,7,Fail,,,,
Other,Other,8,Fail,,,,
Civil services,Other,7,Fail,,,,
Civil services,Other,9,Fail,,,,
Other,Other,5,Fail,,,,
Civil services,Health care,7,Fail,,,,
At home,Other,7,Fail,,,,
At home,Civil services,6,Fail,,,,
At home,Other,4,Fail,,,,
Other,Other,8,Fail,,,,
At home,Other,9,Fail,,,,
Other,Other,7,Fail,,,,
Other,Civil services,5,Fail,,,,
Teacher,Other,2,Fail,,,,
Other,Other,2,Fail,,,,
Civil services,Civil services,7,Fail,,,,
Other,Civil services,4,Fail,,,,
Civil services,Other,7,Fail,,,,
At home,Other,9,Fail,,,,
Civil services,Civil services,8,Fail,,,,
Other,Other,8,Fail,,,,
Health care,Other,8,Fail,,,,
Civil services,Civil services,6,Fail,,,,
Teacher,Other,8,Fail,,,,
Other,Other,9,Fail,,,,
At home,Civil services,6,Fail,,,,
Civil services,Other,9,Fail,,,,
Other,Other,2,Fail,,,,
Other,Civil services,9,Fail,,,,
Other,Civil services,9,Fail,,,,
Teacher,Civil services,9,Fail,,,,
Health care,Health care,8,Fail,,,,
Civil services,Other,8,Fail,,,,
Other,Other,9,Fail,,,,
Health care,Other,6,Fail,,,,
Other,Other,9,Fail,,,,
Teacher,Civil services,8,Fail,,,,
Civil services,Civil services,6,Fail,,,,
Civil services,Other,5,Fail,,,,
Other,Other,9,Fail,,,,
Teacher,Civil services,9,Fail,,,,
Other,Other,8,Fail,,,,
Civil services,Civil services,2,Fail,,,,
Other,Other,5,Fail,,,,
At home,Other,6,Fail,,,,
Other,Other,5,Fail,,,,
Teacher,Civil services,7,Fail,,,,
At home,At home,6,Fail,,,,
Other,Civil services,8,Fail,,,,
At home,Civil services,8,Fail,,,,
Other,Other,8,Fail,,,,
Civil services,Civil services,9,Fail,,,,
Other,Civil services,4,Fail,,,,
Civil services,Civil services,8,Fail,,,,
Other,Other,5,Fail,,,,
Other,Other,9,Fail,,,,
Teacher,Civil services,9,Fail,,,,
Other,Other,7,Fail,,,,
Other,Civil services,4,Fail,,,,
Other,Other,5,Fail,,,,
Teacher,At home,6,Fail,,,,
Civil services,Other,4,Fail,,,,
Teacher,Civil services,8,Fail,,,,
Other,Other,4,Fail,,,,
Civil services,Civil services,9,Fail,,,,
Other,Other,8,Fail,,,,
Other,At home,9,Fail,,,,
