Mother_job,Father_job,Avg,Rank,mJob,mValue,fJob,fValue
Health care,Civil services,15,Good,Teacher,13,Teacher,6
Civil services,Other,15,Good,Civil services,20,Civil services,29
Other,Other,15,Good,Health care,15,Health care,7
Health care,Civil services,14,Good,At home,12,At home,6
Other,Other,15,Good,Other,33,Other,45
Health care,Other,14,Good,,,,
Civil services,Civil services,14,Good,,,,
Teacher,Other,14,Good,,,,
Health care,Health care,14,Good,,,,
Teacher,Other,15,Good,,,,
Other,Other,13,Good,,,,
Health care,Civil services,15,Good,,,,
Other,Other,14,Good,,,,
Other,Teacher,15,Good,,,,
At home,Other,13,Good,,,,
Teacher,Other,15,Good,,,,
Civil services,Civil services,13,Good,,,,
Civil services,Civil services,15,Good,,,,
Teacher,Health care,15,Good,,,,
Teacher,Civil services,15,Good,,,,
Other,Civil services,13,Good,,,,
Other,Other,14,Good,,,,
Other,Other,13,Good,,,,
Civil services,Civil services,15,Good,,,,
Other,Other,14,Good,,,,
Civil services,Health care,13,Good,,,,
Civil services,Other,14,Good,,,,
Other,Other,13,Good,,,,
Health care,Health care,15,Good,,,,
Teacher,Teacher,15,Good,,,,
Other,Teacher,13,Good,,,,
Other,Civil services,13,Good,,,,
Other,Other,13,Good,,,,
At home,Civil services,15,Good,,,,
Civil services,Civil services,15,Good,,,,
Other,Health care,13,Good,,,,
Health care,Other,13,Good,,,,
Civil services,Civil services,13,Good,,,,
Civil services,Other,13,Good,,,,
At home,At home,14,Good,,,,
At home,Other,13,Good,,,,
Other,Other,14,Good,,,,
Health care,Civil services,15,Good,,,,
Health care,Health care,14,Good,,,,
Other,Other,15,Good,,,,
Other,Other,15,Good,,,,
Other,Other,14,Good,,,,
Civil services,Civil services,15,Good,,,,
Other,Other,13,Good,,,,
Other,Other,15,Good,,,,
Other,Other,13,Good,,,,
Teacher,Civil services,13,Good,,,,
Other,Other,15,Good,,,,
Health care,Other,13,Good,,,,
Health care,Other,13,Good,,,,
Other,Other,13,Good,,,,
Other,Other,14,Good,,,,
Teacher,Civil services,13,Good,,,,
Other,Other,14,Good,,,,
Other,Civil services,14,Good,,,,
At home,At home,14,Good,,,,
Civil services,Civil services,14,Good,,,,
Teacher,Teacher,14,Good,,,,
Health care,Civil services,15,Good,,,,
Civil services,Other,14,Good,,,,
Other,Other,14,Good,,,,
Other,Other,14,Good,,,,
Other,Other,14,Good,,,,
Civil services,At home,13,Good,,,,
Other,Civil services,13,Good,,,,
At home,Other,13,Good,,,,
At home,Health care,14,Good,,,,
Civil services,Civil services,13,Good,,,,
Civil services,Civil services,14,Good,,,,
At home,At home,15,Good,,,,
Other,Civil services,15,Good,,,,
Teacher,Teacher,14,Good,,,,
At home,Other,13,Good,,,,
Civil services,Other,15,Good,,,,
Civil services,At home,13,Good,,,,
Civil services,Other,15,Good,,,,
Other,Civil services,13,Good,,,,
Health care,Other,14,Good,,,,
Health care,Other,13,Good,,,,
Teacher,Civil services,13,Good,,,,
At home,Other,13,Good,,,,
At home,At home,15,Good,,,,
Teacher,Civil services,13,Good,,,,
At home,Civil services,13,Good,,,,
Health care,Other,15,Good,,,,
Other,Other,15,Good,,,,
Teacher,Teacher,14,Good,,,,
Civil services,Civil services,15,Good,,,,
