Mother_job,Father_job,Avg,Rank,mJob,mValue,fJob,fValue
Other,Other,12,Medium,Teacher,16,Teacher,7
Civil services,Other,11,Medium,Civil services,32,Civil services,32
Teacher,Other,10,Medium,Health care,8,Health care,4
Other,Other,12,Medium,At home,16,At home,5
Civil services,Other,11,Medium,Other,43,Other,67
Teacher,Teacher,11,Medium,,,,
Health care,Civil services,11,Medium,,,,
Other,Other,10,Medium,,,,
Civil services,Health care,12,Medium,,,,
Teacher,Other,12,Medium,,,,
Other,At home,10,Medium,,,,
Other,Civil services,11,Medium,,,,
Health care,Other,12,Medium,,,,
Health care,Health care,11,Medium,,,,
Civil services,Civil services,10,Medium,,,,
Other,Other,12,Medium,,,,
Health care,Teacher,11,Medium,,,,
Civil services,Civil services,10,Medium,,,,
Civil services,Civil services,10,Medium,,,,
Other,Other,10,Medium,,,,
Other,Civil services,11,Medium,,,,
Teacher,Other,11,Medium,,,,
Other,Other,11,Medium,,,,
Other,Civil services,11,Medium,,,,
Other,Other,11,Medium,,,,
Other,Other,10,Medium,,,,
Civil services,Other,10,Medium,,,,
Teacher,Civil services,10,Medium,,,,
Civil services,Other,12,Medium,,,,
Other,Health care,11,Medium,,,,
Other,Other,12,Medium,,,,
At home,Other,12,Medium,,,,
Other,Other,12,Medium,,,,
Civil services,Other,11,Medium,,,,
Teacher,Civil services,10,Medium,,,,
Other,Civil services,10,Medium,,,,
At home,Other,11,Medium,,,,
Civil services,Civil services,10,Medium,,,,
Other,Teacher,11,Medium,,,,
Other,Civil services,11,Medium,,,,
At home,Civil services,10,Medium,,,,
Civil services,Civil services,12,Medium,,,,
Other,Other,10,Medium,,,,
Teacher,Other,11,Medium,,,,
Other,Other,10,Medium,,,,
Civil services,Other,12,Medium,,,,
Other,Other,10,Medium,,,,
Civil services,Other,12,Medium,,,,
Other,Other,12,Medium,,,,
Civil services,Civil services,12,Medium,,,,
Civil services,Civil services,11,Medium,,,,
Civil services,Civil services,12,Medium,,,,
Civil services,Civil services,10,Medium,,,,
Teacher,Other,12,Medium,,,,
Civil services,Other,12,Medium,,,,
At home,At home,10,Medium,,,,
Civil services,Civil services,12,Medium,,,,
Other,Other,11,Medium,,,,
Other,Other,11,Medium,,,,
Teacher,Teacher,10,Medium,,,,
At home,Other,10,Medium,,,,
Other,Other,12,Medium,,,,
At home,Civil services,12,Medium,,,,
Health care,Other,12,Medium,,,,
Teacher,Other,11,Medium,,,,
Civil services,Civil services,12,Medium,,,,
Other,Other,12,Medium,,,,
Other,Other,11,Medium,,,,
Civil services,At home,11,Medium,,,,
Other,Other,12,Medium,,,,
Teacher,Other,11,Medium,,,,
Health care,Other,10,Medium,,,,
Other,Other,11,Medium,,,,
At home,Health care,10,Medium,,,,
Civil services,Other,12,Medium,,,,
Teacher,Civil services,10,Medium,,,,
Teacher,Civil services,10,Medium,,,,
At home,Other,12,Medium,,,,
Other,Other,10,Medium,,,,
Other,Other,11,Medium,,,,
Civil services,Teacher,12,Medium,,,,
Teacher,Other,11,Medium,,,,
Civil services,At home,12,Medium,,,,
Health care,Other,12,Medium,,,,
Health care,Other,11,Medium,,,,
Other,Teacher,11,Medium,,,,
At home,Other,11,Medium,,,,
Other,Civil services,12,Medium,,,,
Civil services,Other,11,Medium,,,,
Other,Other,12,Medium,,,,
At home,Civil services,11,Medium,,,,
Teacher,Other,11,Medium,,,,
Other,Other,10,Medium,,,,
Civil services,Civil services,11,Medium,,,,
Other,Other,11,Medium,,,,
Civil services,Other,10,Medium,,,,
Other,Other,10,Medium,,,,
Civil services,Civil services,11,Medium,,,,
At home,Other,10,Medium,,,,
Teacher,Other,10,Medium,,,,
Other,Other,12,Medium,,,,
Civil services,Other,12,Medium,,,,
Civil services,Other,12,Medium,,,,
Other,Civil services,10,Medium,,,,
At home,Other,12,Medium,,,,
Civil services,Civil services,11,Medium,,,,
Other,Civil services,12,Medium,,,,
At home,Other,10,Medium,,,,
At home,Civil services,10,Medium,,,,
Other,Teacher,12,Medium,,,,
Other,At home,12,Medium,,,,
At home,Other,10,Medium,,,,
Other,Civil services,11,Medium,,,,
At home,Other,10,Medium,,,,
Civil services,Other,11,Medium,,,,
